日期,指数代码,指数名称,指数英文名称,code,name,成分券英文名称,交易所,交易所英文名称
2026-06-26,000905,中证500,CSI 500,300073,当升科技,Beijing Easpring Material Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300100,双林股份,"Shuanglin Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300115,长盈精密,Shenzhen Evenwin Precision Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300136,信维通信,Shenzhen Sunway Communication Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300140,节能环境,"CECEP ENVIRONMENTAL PROTECTION CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300142,沃森生物,Walvax Biotechnology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300144,宋城演艺,"SONGCHENG PERFORMANCE DEVELOPMENT CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300146,汤臣倍健,"BY-HEALTH CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300207,欣旺达,Sunwoda Electronic Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300223,北京君正,Ingenic Semiconductor Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300285,国瓷材料,"Shandong Sinocera Functional Material Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300339,润和软件,"Jiangsu Hoperun Software Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300346,南大光电,"Jiangsu Nata Opto-electronic Material Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300373,扬杰科技,"Yangzhou Yangjie Electronic Technology Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300383,光环新网,"Beijing Sinnet Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300390,天华新能,"Canmax Technologies Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300395,菲利华,HUBEI FEILIHUA QUARTZ GLASS CO.LTD,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300432,富临精工,"Mianyang Fulin Precision Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300454,深信服,Sangfor Technologies Inc.,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300458,全志科技,"All Winner Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300474,景嘉微,"Changsha Jingjia Microelectronics Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300475,香农芯创,"Shannon Semiconductor Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300487,蓝晓科技,"SUNRESIN NEW MATERIALS CO.,LTD, XI' AN",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300496,中科创达,"Thunder Software Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300548,长芯博创,"EverProX Technologies Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300558,贝达药业,"Betta Pharmaceuticals Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,300567,精测电子,"Wuhan Jingce Electronic Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
